cluster,num_elementos,media_latitud,media_longitud,max_hora,min_hora,id_estacion_proxima,longitud_estacion,latitud_estacion,suma_intensidad,probabilidad_accidente,geometry_accidente,geometry_estacion,osmid_acc,dist_acc,osmid_est,dist_est
125,14,40.38415982467564,-3.6048780215735414,1180,285,10782,-3.605179131214854,40.384058624031596,5540806,2.5267082081559976e-06,POINT (-3.6048780215735414 40.38415982467564),POINT (-3.605179131214854 40.384058624031596),24222380,7792.4116233347895,24222380,7801.065260020861
126,19,40.38231569740417,-3.603347804241907,1205,170,10782,-3.605179131214854,40.384058624031596,5540806,3.4291039967831396e-06,POINT (-3.603347804241907 40.38231569740417),POINT (-3.605179131214854 40.384058624031596),302644186,7792.4116233347895,302644186,7801.065260020861
127,22,40.37128730165641,-3.609366997433871,1370,115,5365,-3.6082051059040134,40.37142683077943,2578371,8.532519175867244e-06,POINT (-3.609366997433871 40.37128730165641),POINT (-3.6082051059040134 40.37142683077943),"[15241769, 1354652366, 15241775]",4434.734136714709,"[15241769, 1354652366, 15241775]",3902.859086457615
128,16,40.3707464101291,-3.6131611119816207,1354,598,5361,-3.6113269841812508,40.369482985760904,1059696,1.5098669807189986e-05,POINT (-3.6131611119816207 40.3707464101291),POINT (-3.6113269841812508 40.369482985760904),"[15241769, 1354652366, 15241775]",3923.508884563767,"[15241769, 1354652366, 15241775]",3902.859086457615
129,11,40.373022627274366,-3.6117256525636177,1345,45,5361,-3.6113269841812508,40.369482985760904,1518371,7.2446062260145906e-06,POINT (-3.6117256525636177 40.373022627274366),POINT (-3.6113269841812508 40.369482985760904),24222380,7711.518408330742,24222380,7666.9052954284725
130,15,40.38765713391184,-3.623183170934297,1210,640,10980,-3.6227076831250264,40.38881641483962,3960662,3.787245667517198e-06,POINT (-3.623183170934297 40.38765713391184),POINT (-3.6227076831250264 40.38881641483962),302644186,7711.518408330742,302644186,7666.9052954284725
131,43,40.39777063914934,-3.623808527871668,1350,40,6988,-3.623912843081716,40.397595824864915,0,,POINT (-3.623808527871668 40.39777063914934),POINT (-3.623912843081716 40.397595824864915),24222380,7639.003690014836,24222380,7620.453600638468
132,17,40.49694177426494,-3.6534897502673447,1275,8,9874,-3.6524120144396712,40.49648898808105,0,,POINT (-3.6534897502673447 40.49694177426494),POINT (-3.6524120144396712 40.49648898808105),302644186,7639.003690014836,302644186,7620.453600638468
133,47,40.396184919053965,-3.6178457617093933,1405,50,6984,-3.6187229405585666,40.3969886374482,0,,POINT (-3.6178457617093933 40.396184919053965),POINT (-3.6187229405585666 40.3969886374482),"[15241769, 1354652366, 15241775]",4431.892633044455,"[15241769, 1354652366, 15241775]",4134.834900038964
134,14,40.39067402393979,-3.620431055887465,1425,600,6507,-3.6212695210613903,40.39014536732215,0,,POINT (-3.620431055887465 40.39067402393979),POINT (-3.6212695210613903 40.39014536732215),"[15241769, 1354652366, 15241775]",4447.270135165262,"[15241769, 1354652366, 15241775]",4252.545594430406
